name,symbol
Gujarat Apollo Industries Limited,GUJAPOLLO
Gujarat Gas Limited,GUJGASLTD
Gujarat Raffia Industries Limited,GUJRAFFIA
Gulf Oil Lubricants India Limited,GULFOILLUB
GP Petroleums Limited,GULFPETRO
Gulshan Polyols Limited,GULPOLY
GVK Power & Infrastructure Limited,GVKPIL
Hindustan Aeronautics Limited,HAL
Harita Seating Systems Limited,HARITASEAT
Harrisons  Malayalam Limited,HARRMALAYA
Hathway Cable & Datacom Limited,HATHWAY
Hatsun Agro Product Limited,HATSUN
Havells India Limited,HAVELLS
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA
HBL Power Systems Limited,HBLPOWER
HB Stockholdings Limited,HBSL
Hindustan Construction Company Limited,HCC
Healthcare Global Enterprises Limited,HCG
HCL Infosystems Limited,HCL-INSYS
HCL Technologies Limited,HCLTECH
Housing Development Finance Corporation Limited,HDFC
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
Housing Development and Infrastructure Limited,HDIL
HEG Limited,HEG
HeidelbergCement India Limited,HEIDELBERG
Hercules Hoists Limited,HERCULES
Heritage Foods Limited,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO
Hester Biosciences Limited,HESTERBIO
Hexa Tradex Limited,HEXATRADEX
Hexaware Technologies Limited,HEXAWARE
HFCL Limited,HFCL
H.G. Infra Engineering Limited,HGINFRA
Hinduja Global Solutions Limited,HGS
Hikal Limited,HIKAL
HIL Limited,HIL
Hilton Metal Forging Limited,HILTON
Himatsingka Seide Limited,HIMATSEIDE
Hindalco Industries Limited,HINDALCO
Hindustan Composites Limited,HINDCOMPOS
Hindustan Copper Limited,HINDCOPPER
Hindustan Motors Limited,HINDMOTORS
Hindusthan National Glass & Industries Limited,HINDNATGLS
Hindustan Oil Exploration Company Limited,HINDOILEXP
Hindustan Petroleum Corporation Limited,HINDPETRO
Hind Syntex Limited,HINDSYNTEX
Hindustan Unilever Limited,HINDUNILVR
Hindustan Zinc Limited,HINDZINC
Hind Rectifiers Limited,HIRECT
Hisar Metal Industries Limited,HISARMETAL
Hi-Tech Pipes Limited,HITECH
Hitech Corporation Limited,HITECHCORP
The Hi-Tech Gears Limited,HITECHGEAR
HMT Limited,HMT
Hindustan Media Ventures Limited,HMVL
Hindustan Foods Limited,HNDFDS
Honeywell Automation India Limited,HONAUT
Honda Siel Power Products Limited,HONDAPOWER
Hotel Leela Venture Limited,HOTELEELA
Hotel Rugby Limited,HOTELRUGBY
HOV Services Limited,HOVS
HPL Electric & Power Limited,HPL
Himadri Speciality Chemical Limited,HSCL
HSIL Limited,HSIL
HT Media Limited,HTMEDIA
Hubtown Limited,HUBTOWN
Housing & Urban Development Corporation Limited,HUDCO
Indiabulls Real Estate Limited,IBREALEST
Indiabulls Housing Finance Limited,IBULHSGFIN
Indiabulls Integrated Services Limited,IBULISL
Indiabulls Ventures Limited,IBVENTURES
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
Indo Count Industries Limited,ICIL
ICRA Limited,ICRA
IDBI Bank Limited,IDBI
Vodafone Idea Limited,IDEA
IDFC Limited,IDFC
IDFC First Bank Limited,IDFCFIRSTB
Indian Energy Exchange Limited,IEX
IFB Agro Industries Limited,IFBAGRO
IFB Industries Limited,IFBIND
IFCI Limited,IFCI
IFGL Refractories Limited,IFGLEXPOR
Igarashi Motors India Limited,IGARASHI
Indraprastha Gas Limited,IGL
IG Petrochemicals Limited,IGPL
IIFL Finance Limited,IIFL
IIFL Securities Limited,IIFLSEC
Iifl Wealth Management Limited,IIFLWAM
Industrial Investment Trust Limited,IITL
IL&FS Engineering and Construction Company Limited,IL&FSENGG
IL&FS Transportation Networks Limited,IL&FSTRANS
Indian Metals & Ferro Alloys Limited,IMFA
India Motor Parts and Accessories Limited,IMPAL
Impex Ferro Tech Limited,IMPEXFERRO
Indbank Merchant Banking Services Limited,INDBANK
The Indian Hotels Company Limited,INDHOTEL
The India Cements Limited,INDIACEM
India Glycols Limited,INDIAGLYCO
Indiamart Intermesh Limited,INDIAMART
Indian Bank,INDIANB
Indian Card Clothing Company Limited,INDIANCARD
Indian Hume Pipe Company Limited,INDIANHUME
InterGlobe Aviation Limited,INDIGO
IMP Powers Limited,INDLMETER
India Nippon Electricals Limited,INDNIPPON
Indoco Remedies Limited,INDOCO
Indo Rama Synthetics (India) Limited,INDORAMA
Indosolar Limited,INDOSOLAR
IndoStar Capital Finance Limited,INDOSTAR
Indo Tech Transformers Limited,INDOTECH
Indo Thai Securities Limited,INDOTHAI
Indowind Energy Limited,INDOWIND
Indraprastha Medical Corporation Limited,INDRAMEDCO
Ind-Swift Laboratories Limited,INDSWFTLAB
Ind-Swift Limited,INDSWFTLTD
Indian Terrain Fashions Limited,INDTERRAIN
IndusInd Bank Limited,INDUSINDBK
INEOS Styrolution India Limited,INEOSSTYRO
Infibeam Avenues Limited,INFIBEAM
InfoBeans Technologies Limited,INFOBEAN
Bharti Infratel Limited,INFRATEL
Infosys Limited,INFY
Ingersoll Rand (India) Limited,INGERRAND
INOX Leisure Limited,INOXLEISUR
Inox Wind Limited,INOXWIND
Insecticides (India) Limited,INSECTICID
Inspirisys Solutions Limited,INSPIRISYS
Integra Garments and Textiles Limited,INTEGRA
Intellect Design Arena Limited,INTELLECT
Intense Technologies Limited,INTENTECH
Inventure Growth & Securities Limited,INVENTURE
Indian Overseas Bank,IOB
Indian Oil Corporation Limited,IOC
IOL Chemicals and Pharmaceuticals Limited,IOLCP
International Paper APPM Limited,IPAPPM
IPCA Laboratories Limited,IPCALAB
IRB Infrastructure Developers Limited,IRB
Ircon International Limited,IRCON
Indian Railway Catering And Tourism Corporation Limited,IRCTC
ICICI Securities Limited,ISEC
Intrasoft Technologies Limited,ISFT
ISMT Limited,ISMTLTD
ITC Limited,ITC
India Tourism Development Corporation Limited,ITDC
ITD Cementation India Limited,ITDCEM
ITI Limited,ITI
IL&FS Investment Managers Limited,IVC
IVP Limited,IVP
IVRCL Limited,IVRCLINFRA
IZMO Limited,IZMO
The Jammu & Kashmir Bank Limited,J&KBANK
Jagran Prakashan Limited,JAGRAN
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM
Jai Balaji Industries Limited,JAIBALAJI
Jai Corp Limited,JAICORPLTD
Jaihind Projects Limited,JAIHINDPRO
Jain Studios Limited,JAINSTUDIO
Jamna Auto Industries Limited,JAMNAAUTO
Jash Engineering Limited,JASH
Jayant Agro Organics Limited,JAYAGROGN
Jay Bharat Maruti Limited,JAYBARMARU
Jayaswal Neco Industries Limited,JAYNECOIND
Jayshree Tea & Industries Limited,JAYSREETEA
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM
JBF Industries Limited,JBFIND
JBM Auto Limited,JBMA
Johnson Controls – Hitachi Air Conditioning India Limited,JCHAC
Jet Airways (India) Limited,JETAIRWAYS
JHS Svendgaard Laboratories Limited,JHS
JIK Industries Limited,JIKIND
Jindal Photo Limited,JINDALPHOT
Jindal Poly Films Limited,JINDALPOLY
Jindal Saw Limited,JINDALSAW
Jindal Steel & Power Limited,JINDALSTEL
Jindal Cotex Limited,JINDCOT
Jindal Drilling And Industries Limited,JINDRILL
Jindal Worldwide Limited,JINDWORLD
Jain Irrigation Systems Limited,JISLDVREQS
Jain Irrigation Systems Limited,JISLJALEQS
JITF Infralogistics Limited,JITFINFRA
Jiya Eco-Products Limited,JIYAECO
JK Cement Limited,JKCEMENT
J.Kumar Infraprojects Limited,JKIL
JK Lakshmi Cement Limited,JKLAKSHMI
JK Paper Limited,JKPAPER
JK Tyre & Industries Limited,JKTYRE
Jullundur Motor Agency (Delhi) Limited,JMA
JMC Projects (India)  Limited,JMCPROJECT
JM Financial Limited,JMFINANCIL
JMT Auto Limited,JMTAUTOLTD
Jocil Limited,JOCIL
Jaiprakash Associates Limited,JPASSOCIAT
Jaypee Infratech Limited,JPINFRATEC
Jindal Poly Investment and Finance Company Limited,JPOLYINVST
Jaiprakash Power Ventures Limited,JPPOWER
Jindal Stainless Limited,JSL
Jindal Stainless (Hisar) Limited,JSLHISAR
JSW Energy Limited,JSWENERGY
JSW Holdings Limited,JSWHL
JSW Steel Limited,JSWSTEEL
Jtekt India Limited,JTEKTINDIA
Jubilant Life Sciences Limited,JUBILANT
Jubilant Foodworks Limited,JUBLFOOD
Jubilant Industries Limited,JUBLINDS
Jump Networks Limited,JUMPNET
Just Dial Limited,JUSTDIAL
JVL Agro Industries Limited,JVLAGRO
Jyothy Labs Limited,JYOTHYLAB
Kabra Extrusion Technik Limited,KABRAEXTRU
Kajaria Ceramics Limited,KAJARIACER
Kakatiya Cement Sugar & Industries Limited,KAKATCEM
Kalpataru Power Transmission Limited,KALPATPOWR
Kalyani Commercials Limited,KALYANI
Kalyani Forge Limited,KALYANIFRG
Kamat Hotels (I) Limited,KAMATHOTEL
Kamdhenu Limited,KAMDHENU
Kanani Industries Limited,KANANIIND
Kanoria Chemicals & Industries Limited,KANORICHEM
Kansai Nerolac Paints Limited,KANSAINER
Karda Constructions Limited,KARDA
Karma Energy Limited,KARMAENG
Karur Vysya Bank Limited,KARURVYSYA
Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA
Kavveri Telecom Products Limited,KAVVERITEL
Kaya Limited,KAYA
KCP Limited,KCP
KCP Sugar and Industries Corporation Limited,KCPSUGIND
KDDL Limited,KDDL
KEC International Limited,KEC
Kirloskar Electric Company Limited,KECL
KEI Industries Limited,KEI
Kellton Tech Solutions Limited,KELLTONTEC
Kennametal India Limited,KENNAMET
Kernex Microsystems (India) Limited,KERNEX
Kesar Enterprises Limited,KESARENT
Kesoram Industries Limited,KESORAMIND
Keynote Financial Services Limited,KEYFINSERV
Karuturi Global Limited,KGL
Khadim India Limited,KHADIM
Khaitan (India) Limited,KHAITANLTD
Khandwala Securities Limited,KHANDSE
Kalyani Investment Company Limited,KICL
Kilitch Drugs (India) Limited,KILITCH
Kingfa Science & Technology (India) Limited,KINGFA
KIOCL Limited,KIOCL
Kiri Industries Limited,KIRIINDUS
Kirloskar Brothers Limited,KIRLOSBROS
Kirloskar Oil Engines Limited,KIRLOSENG
Kirloskar Industries Limited,KIRLOSIND
Kitex Garments Limited,KITEX
Kewal Kiran Clothing Limited,KKCL
K.M.Sugar Mills Limited,KMSUGAR
KNR Constructions Limited,KNRCON
Kohinoor Foods Limited,KOHINOOR
Kokuyo Camlin Limited,KOKUYOCMLN
Kolte – Patil Developers Limited,KOLTEPATIL
Kopran Limited,KOPRAN
Kotak Mahindra Bank Limited,KOTAKBANK
Kothari Sugars And Chemicals Limited,KOTARISUG
Kothari Petrochemicals Limited,KOTHARIPET
Kothari Products Limited,KOTHARIPRO
KPIT Technologies Limited,KPITTECH
K.P.R. Mill Limited,KPRMILL
KRBL Limited,KRBL
Krebs Biochemicals and Industries Limited,KREBSBIO
Kridhan Infra Limited,KRIDHANINF
Krishana Phoschem Limited,KRISHANA
Ksb Limited,KSB
Kaveri Seed Company Limited,KSCL
KSS Limited,KSERASERA
KSK Energy Ventures Limited,KSK
Kalyani Steels Limited,KSL
Kesar Terminals & Infrastructure Limited,KTIL
The Karnataka Bank Limited,KTKBANK
Kuantum Papers Limited,KUANTUM
kwality limited,KWALITY
L&T Finance Holdings Limited,L&TFH
Lakshmi Precision Screws Limited,LAKPRE
Lakshmi Vilas Bank Limited,LAKSHVILAS
Dr. Lal Path Labs Ltd.,LALPATHLAB
Lambodhara Textiles Limited,LAMBODHARA
La Opala RG Limited,LAOPALA
Lasa Supergenerics Limited,LASA
Laurus Labs Limited,LAURUSLABS
Lakshmi Machine Works Limited,LAXMIMACH
Lemon Tree Hotels Limited,LEMONTREE
Lakshmi Finance & Industrial Corporation Limited,LFIC
LG Balakrishnan & Bros Limited,LGBBROSLTD
LGB Forge Limited,LGBFORGE
Libas Designs Limited,LIBAS
Libas Designs Limited,LIBAS
Liberty Shoes Limited,LIBERTSHOE
LIC Housing Finance Limited,LICHSGFIN
Lincoln Pharmaceuticals Limited,LINCOLN
Linc Pen & Plastics Limited,LINCPEN
Linde India Limited,LINDEINDIA
Lokesh Machines Limited,LOKESHMACH
Lotus Eye Hospital and Institute Limited,LOTUSEYE
Lovable Lingerie Limited,LOVABLE
Landmark Property Development Company Limited,LPDC
Lloyds Steels Industries Limited,LSIL
Larsen & Toubro Limited,LT
Larsen & Toubro Infotech Limited,LTI
L&T Technology Services Limited,LTTS
Lumax Industries Limited,LUMAXIND
Lumax Auto Technologies Limited,LUMAXTECH
Lupin Limited,LUPIN
Lux Industries Limited,LUXIND
Lyka Labs Limited,LYKALABS
Lypsa Gems & Jewellery Limited,LYPSAGEMS
Mahindra & Mahindra Limited,M&M
Mahindra & Mahindra Financial Services Limited,M&MFIN
Maan Aluminium Limited,MAANALU
Madhav Marbles and Granites Limited,MADHAV
Madhucon Projects Limited,MADHUCON
Madras Fertilizers Limited,MADRASFERT
Magadh Sugar & Energy Limited,MAGADSUGAR
Magma Fincorp Limited,MAGMA
Magnum Ventures Limited,MAGNUM
Bank of Maharashtra,MAHABANK
Maha Rashtra Apex Corporation Limited,MAHAPEXLTD
Mahamaya Steel Industries Limited,MAHASTEEL
Maheshwari Logistics Limited,MAHESHWARI
Mahindra CIE Automotive Limited,MAHINDCIE
Mahindra Lifespace Developers Limited,MAHLIFE
Mahindra Logistics Limited,MAHLOG
Maharashtra Scooters Limited,MAHSCOOTER
Maharashtra Seamless Limited,MAHSEAMLES
Maithan Alloys Limited,MAITHANALL
Majesco Limited,MAJESCO
Malu Paper Mills Limited,MALUPAPER
Manaksia Aluminium Company Limited,MANAKALUCO
Manaksia Coated Metals & Industries Limited,MANAKCOAT
Manaksia Limited,MANAKSIA
Manaksia Steels Limited,MANAKSTEEL
Manali Petrochemicals Limited,MANALIPETC
Manappuram Finance Limited,MANAPPURAM
Mangalam Drugs And Organics Limited,MANGALAM
Mangalore Chemicals & Fertilizers Limited,MANGCHEFER
Mangalam Cement Limited,MANGLMCEM
Mangalam Timber Products Limited,MANGTIMBER
Man Industries (India) Limited,MANINDS
Man Infraconstruction Limited,MANINFRA
Manpasand Beverages Limited,MANPASAND
Manugraph India Limited,MANUGRAPH
Maral Overseas Limited,MARALOVER
Marathon Nextgen Realty Limited,MARATHON
Marico Limited,MARICO
Marksans Pharma Limited,MARKSANS
Maruti Suzuki India Limited,MARUTI
MAS Financial Services Limited,MASFIN
Mask Investments Limited,MASKINVEST
Mastek Limited,MASTEK
Matrimony.Com Limited,MATRIMONY
Mawana Sugars Limited,MAWANASUG
Max India Limited,MAXINDIA
Max Ventures and Industries Limited,MAXVIL
Mayur Uniquoters Ltd,MAYURUNIQ
Mazda Limited,MAZDA
Madhya Bharat Agro Products Limited,MBAPL
Mcnally Bharat Engineering Company Limited,MBECL
MBL Infrastructures Limited,MBLINFRA
McDowell Holdings Limited,MCDHOLDING
United Spirits Limited,MCDOWELL-N
Mcleod Russel India Limited,MCLEODRUSS
Multi Commodity Exchange of India Limited,MCX
Megasoft Limited,MEGASOFT
Meghmani Organics Limited,MEGH
Melstar Information Technologies Limited,MELSTAR
Menon Bearings Limited,MENONBE
MEP Infrastructure Developers Limited,MEP
Mercator Limited,MERCATOR
Metalyst Forgings Limited,METALFORGE
Metkore Alloys & Industries Limited,METKORE
Metropolis Healthcare Limited,METROPOLIS
Max Financial Services Limited,MFSL
Mahanagar Gas Limited,MGL
Mahindra Holidays & Resorts India Limited,MHRIL
MIC Electronics Limited,MIC
Mishra Dhatu Nigam Limited,MIDHANI
Minda Corporation Limited,MINDACORP
Minda Industries Limited,MINDAIND
Mindteck (India) Limited,MINDTECK
MindTree Limited,MINDTREE
MIRC Electronics Limited,MIRCELECTR
Mirza International Limited,MIRZAINT
MM Forgings Limited,MMFL
MMTC Limited,MMTC
Modi Rubber Limited,MODIRUBBER
Mohit Industries Limited,MOHITIND
Mohota Industries Limited,MOHOTAIND
MOIL Limited,MOIL
Mold-Tek Technologies Limited,MOLDTECH
Mold-Tek Packaging Limited,MOLDTKPAC
Monte Carlo Fashions Limited,MONTECARLO
Morarjee Textiles Limited,MORARJEE
Morepen Laboratories Limited,MOREPENLAB
Motherson Sumi Systems Limited,MOTHERSUMI
Motilal Oswal Financial Services Limited,MOTILALOFS
The Motor & General Finance Limited,MOTOGENFIN
MphasiS Limited,MPHASIS
MPS Limited,MPSLTD
MRF Limited,MRF
MRO-TEK Realty Limited,MRO-TEK
Mangalore Refinery and Petrochemicals Limited,MRPL
MSP Steel & Power Limited,MSPL
Mstc Limited,MSTCLTD
MT Educare Limited,MTEDUCARE
Mahanagar Telephone Nigam Limited,MTNL
Mukand Engineers Limited,MUKANDENGG
Mukand Limited,MUKANDLTD
Mukta Arts Limited,MUKTAARTS
Munjal Auto Industries Limited,MUNJALAU
Munjal Showa Limited,MUNJALSHOW
Murudeshwar Ceramics Limited,MURUDCERA
Muthoot Capital Services Limited,MUTHOOTCAP
Muthoot Finance Limited,MUTHOOTFIN
MVL Limited,MVL
NACL Industries Limited,NACLIND
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
Nagarjuna Oil Refinery Limited,NAGAROIL
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP
Nagreeka Exports Limited,NAGREEKEXP
Nahar Capital and Financial Services Limited,NAHARCAP
Nahar Industrial Enterprises Limited,NAHARINDUS
Nahar Poly Films Limited,NAHARPOLY
Nahar Spinning Mills Limited,NAHARSPING
Natco Pharma Limited,NATCOPHARM
Nath Bio-Genes (India) Limited,NATHBIOGEN
National Aluminium Company Limited,NATIONALUM
National Steel And Agro Industries Limited,NATNLSTEEL
Info Edge (India) Limited,NAUKRI
Navin Fluorine International Limited,NAVINFLUOR
Navkar Corporation Limited,NAVKARCORP
Navneet Education Limited,NAVNETEDUL
NBCC (India) Limited,NBCC
N. B. I. Industrial Finance Company Limited,NBIFIN
Nava Bharat Ventures Limited,NBVENTURES
NCC Limited,NCC
NCL Industries Limited,NCLIND
Naga Dhunseri Group Limited,NDGL
Nandan Denim Limited,NDL
New Delhi Television Limited,NDTV
North Eastern Carrying Corporation Limited,NECCLTD
Nectar Lifesciences Limited,NECLIFE
Nelcast Limited,NELCAST
NELCO Limited,NELCO
Neogen Chemicals Limited,NEOGEN
Nesco Limited,NESCO
Nestle India Limited,NESTLEIND
Network18 Media & Investments Limited,NETWORK18
Neuland Laboratories Limited,NEULANDLAB
Newgen Software Technologies Limited,NEWGEN
Next Mediaworks Limited,NEXTMEDIA
National Fertilizers Limited,NFL
Narayana Hrudayalaya Ltd.,NH
NHPC Limited,NHPC
The New India Assurance Company Limited,NIACL
NRB Industrial Bearings Limited,NIBL
NIIT Limited,NIITLTD
NIIT Technologies Limited,NIITTECH
Nila Infrastructures Limited,NILAINFRA
Nila Spaces Limited,NILASPACES
Nilkamal Limited,NILKAMAL
Indo-National Limited,NIPPOBATRY
Niraj Ispat Industries Limited,NIRAJISPAT
Nitco Limited,NITCO
Nitin Fire Protection Industries Limited,NITINFIRE
Nitin Spinners Limited,NITINSPIN
NK Industries Limited,NKIND
NLC India Limited,NLCINDIA
NMDC Limited,NMDC
NOCIL Limited,NOCIL
Noida Toll Bridge Company Limited,NOIDATOLL
Norben Tea & Exports Limited,NORBTEAEXP
N R Agarwal Industries Limited,NRAIL
NRB Bearing Limited,NRBBEARING
Nalwa Sons Investments Limited,NSIL
Neueon Towers Limited,NTL
NTPC Limited,NTPC
Nucleus Software Exports Limited,NUCLEUS
NXTDIGITAL LIMITED,NXTDIGITAL
Oriental Aromatics Limited,OAL
Oberoi Realty Limited,OBEROIRLTY
Oriental Carbon & Chemicals Limited,OCCL
Oracle Financial Services Software Limited,OFSS
Oil India Limited,OIL
Oil Country Tubular Limited,OILCOUNTUB
OCL Iron and Steel Limited,OISL
Olectra Greentech Limited,OLECTRA
Omax Autos Limited,OMAXAUTO
Omaxe Limited,OMAXE
Omkar Speciality Chemicals Limited,OMKARCHEM
OM Metals Infraprojects Limited,OMMETALS
Onelife Capital Advisors Limited,ONELIFECAP
One Point One Solutions Limited,ONEPOINT
Oil & Natural Gas Corporation Limited,ONGC
OnMobile Global Limited,ONMOBILE
Onward Technologies Limited,ONWARDTEC
Optiemus Infracom Limited,OPTIEMUS
Opto Circuits (India) Limited,OPTOCIRCUI
Orbit Exports Limited,ORBTEXP
Oricon Enterprises Limited,ORICONENT
Orient Abrasives Limited,ORIENTABRA
Oriental Trimex Limited,ORIENTALTL
Oriental Bank of Commerce,ORIENTBANK
Orient Bell Limited,ORIENTBELL
Orient Cement Limited,ORIENTCEM
Orient Electric Limited,ORIENTELEC
Oriental Hotels Limited,ORIENTHOT
Orient Press Limited,ORIENTLTD
Orient Paper & Industries Limited,ORIENTPPR
Orient Refractories Limited,ORIENTREF
The Orissa Minerals Development Company Limited,ORISSAMINE
Ortel Communications Limited,ORTEL
Ortin Laboratories Limited,ORTINLABSS
Oswal Agro Mills Limited,OSWALAGRO
PAE Limited,PAEL
Page Industries Limited,PAGEIND
Paisalo Digital Limited,PAISALO
Palash Securities Limited,PALASHSECU
Palred Technologies Limited,PALREDTEC
Panacea Biotec Limited,PANACEABIO
Panama Petrochem Limited,PANAMAPET
Huhtamaki PPL Limited,PAPERPROD
Parabolic Drugs Limited,PARABDRUGS
Paramount Communications Limited,PARACABLES
Parag Milk Foods Limited,PARAGMILK
Parsvnath Developers Limited,PARSVNATH
Patel Engineering Limited,PATELENG
Patel Integrated Logistics Limited,PATINTLOG
Patspin India Limited,PATSPINLTD
PC Jeweller Limited,PCJEWELLER
Pudumjee Paper Products Limited,PDMJEPAPER
Parenteral Drugs (India) Limited,PDPL
PDS Multinational Fashions Limited,PDSMFL
Pearl Polymers Limited,PEARLPOLY
